Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-04-12,17571,17612,17108,17128,314792,0.2721,0.3345,-106.61,-128.62,7.09,33.31,0.5589,0.0709,0.3331,-0.8922,-0.8123,-467.58,-401.35,-66.22,98.88,96.17,94.47,88.04,16119,-4495,-12124,2.74,1129.15,0.16
2013-04-15,17249,17289,16584,16584,587477,0.2165,0.3109,-135.66,-130.03,5.77,40.92,0.5847,0.0577,0.4092,-1,-0.9061,-527.64,-426.61,-101.03,96.55,94.24,91.9,85.55,54421,-22866,-31555,2.74,1120.5,0.85
2013-04-16,16523,17612,16483,17612,557697,0.4056,0.3298,-71.58,-118.34,11.6,30.47,0.5666,0.116,0.3047,-0.5127,-0.7094,-486.67,-438.62,-48.05,102.06,100.53,97.85,91.1,-41678,4474,36864,2.74,1115.2,1.17
2013-04-17,17632,17813,17390,17591,312767,0.4093,0.3457,-21.35,-98.94,15.17,27.44,0.5294,0.1517,0.2744,-0.5218,-0.6156,-450.71,-441.04,-9.67,101.82,100.71,97.97,91.24,-7418,8902,-1144,2.73,1118.5,16.26
2013-04-18,17450,17632,17027,17027,175628,0.3488,0.3463,-62.84,-91.72,13.03,32.03,0.515,0.1303,0.3203,-0.7652,-0.6904,-462.39,-445.31,-17.08,99.06,98.16,95.2,88.6,6073,5392,-11165,2.74,1123.7,18.15
2013-04-19,17229,17773,17088,17571,289106,0.3873,0.3545,-19.5,-77.28,14.01,26.68,0.4879,0.1401,0.2668,-0.5304,-0.6104,-422.87,-440.82,17.95,101.7,101.57,98.49,91.7,-21055,18255,2800,2.75,1116.3,15.36
2013-04-22,17672,18035,17531,17773,246860,0.4373,0.3711,51.05,-51.61,18.39,23.61,0.4394,0.1839,0.2361,-0.3661,-0.4883,-370.98,-426.85,55.87,101.47,102.46,99.82,93,3523,2134,-5707,2.75,1119,8.71
2013-04-23,17732,18337,17571,18337,683610,0.5211,0.4011,120.99,-17.09,21.92,19.64,0.3881,0.2192,0.1964,-0.0889,-0.2886,-281.1,-397.7,116.6,103.83,105.03,103.05,96.15,-23712,-39130,-4384,2.75,1120.8,0.51
2013-04-24,18216,18297,17954,18297,296797,0.5059,0.4221,139.99,14.33,19.99,17.9,0.3437,0.1999,0.179,-0.1086,-0.1986,-210.67,-360.3,149.62,102.79,104.32,102.86,96.15,133,3748,-4444,2.75,1117.7,0.64
2013-04-25,18297,18458,18135,18297,220370,0.5263,0.4429,157.89,43.04,22.35,16.49,0.318,0.2235,0.1649,-0.0815,-0.1401,-153.09,-318.86,165.76,101.34,103.83,102.89,96.37,-14401,11505,3847,2.76,1112.1,3.71
2013-04-26,18277,18438,18236,18297,179002,0.6162,0.4776,126.73,59.78,21.14,15.59,0.2958,0.2114,0.1559,-0.0815,-0.1108,-106.24,-276.33,170.1,100.53,103.15,102.94,96.6,-7848,7376,645,2.76,1112.3,10.64
2013-04-29,18277,18619,18277,18438,277171,0.6431,0.5107,118.29,71.48,24.18,14.11,0.2914,0.2418,0.1411,-0.0847,-0.0978,-57.07,-232.48,175.41,100.57,102.87,103.81,97.52,-19921,-12845,32632,2.76,1107.2,4.13
2013-04-30,18458,18458,18135,18135,307159,0.5746,0.5235,74.07,72,21.9,16.92,0.2697,0.219,0.1692,-0.2266,-0.1622,-42.07,-194.4,152.33,99.14,100.88,102.18,96.18,905,-578,-453,2.78,1101.2,22.05
2013-05-02,18135,18397,18135,18297,214320,0.5928,0.5373,68.45,71.29,20.12,15.55,0.2508,0.2012,0.1555,-0.1507,-0.1565,-16.91,-158.9,141.99,100.02,101.39,103.04,97.29,-6878,-875,9278,2.76,1101.6,3.25
2013-05-03,18297,18538,18196,18337,152989,0.6456,0.559,70.38,71.11,22.42,13.86,0.2488,0.2242,0.1386,-0.132,-0.1442,6.18,-125.88,132.07,100.2,100.88,103.24,97.74,-8260,1292,7628,2.76,1097.1,2.4
2013-05-06,18377,18538,18317,18478,169876,0.7525,0.5977,78.06,72.5,20.74,12.82,0.2471,0.2074,0.1282,-0.066,-0.1051,35.46,-93.62,129.07,100.77,101.15,103.9,98.78,-12313,3544,8471,2.77,1094.5,6.09
2013-05-07,18538,18921,18498,18780,337887,0.6931,0.6168,124.32,82.86,30.46,10.92,0.2771,0.3046,0.1092,-0.0744,-0.0898,82.07,-58.48,140.55,102.04,102.24,105.17,100.66,-25194,-17239,42433,2.76,1091.4,2.5
