일자,시가,고가,저가,종가,Close5ma,Close10ma,Close20ma,Close60ma,거래량,RSI,CCI,ADX,WilliamsR,UpDI,DownDI,Net Institutional Buying,외국인 순매수
2023-01-10,"60,200","61,100","59,900","60,400",101.99,104.68,103.5,101.62,"14,859,797",57.63%,143.42,31.65%,-10.61%,38.81,17.67,"941,265","610,946"
2023-01-09,"59,700","60,700","59,600","60,700",104.26,105.66,104.09,102.23,"18,640,107",54.84%,153.98,30.76%,0.00%,39.55,20.04,"2,607,845","3,036,853"
2023-01-06,"58,300","59,400","57,900","59,000",103.18,103.16,101.2,99.49,"17,334,989",47.66%,68.48,30.46%,-16.67%,32.27,23.99,"409,379","2,299,720"
2023-01-05,"58,200","58,800","57,600","58,200",103.12,101.75,99.81,98.25,"15,682,826",44.55%,32.15,32.88%,-31.48%,30.9,28.24,"-2,218,331","3,516,654"
2023-01-04,"55,700","58,000","55,600","57,800",102.99,101.08,99.07,97.64,"20,188,071",37.61%,-35.3,37.24%,-42.11%,25.89,32.2,"-158,714","3,091,108"
2023-01-03,"55,400","56,000","54,500","55,400",98.61,96.75,94.84,93.65,"13,547,030",26.88%,-144.62,41.30%,-85.25%,7.66,43.71,"-1,573,764","317,825"
2023-01-02,"55,500","56,100","55,200","55,500",97.92,96.24,94.61,93.8,"10,031,448",28.72%,-164.42,36.86%,-94.44%,9.32,43.06,"-478,123","-609,433"
2022-12-29,"56,000","56,200","55,300","55,300",96.68,95.23,93.88,93.44,"11,295,935",24.75%,-210.28,32.62%,-100.00%,10.51,47.14,"-1,877,101","-1,510,321"
2022-12-28,"57,600","57,600","56,400","56,600",97.65,96.8,95.5,95.62,"14,665,410",37.00%,-171.03,27.86%,-95.24%,12.51,40.02,"-2,344,111","-2,925,482"
2022-12-27,"58,000","58,400","57,900","58,100",99.76,98.71,97.57,98.19,"10,667,027",45.45%,-96.57,24.09%,-86.21%,15.94,26.79,"4,605,420","-1,535,949"
2022-12-26,"58,000","58,100","57,700","57,900",99.25,98.1,97.03,97.99,"6,756,411",42.70%,-139.25,23.89%,-93.10%,12.62,28.81,"2,512,328","-1,078,195"
2022-12-23,"58,200","58,400","57,700","58,100",99.05,98.18,97.18,98.47,"9,829,407",38.78%,-148.95,21.55%,-86.21%,13.32,30.39,"406,082","-377,373"
2022-12-22,"58,100","59,100","58,100","59,100",100.27,99.48,98.62,100.32,"10,720,630",42.70%,-85.82,18.86%,-64.52%,15.98,30.76,"2,537,919","-858,513"
2022-12-21,"58,700","59,100","58,000","58,000",98.34,97.61,96.59,98.59,"10,356,971",27.00%,-145.87,16.90%,-100.00%,18.51,35.61,"240,493","-1,691,442"
2022-12-20,"59,000","59,100","58,500","58,600",98.52,98.47,97.35,99.72,"9,284,761",31.63%,-104.46,14.64%,-93.88%,21.44,34.05,"205,141","-1,540,029"
2022-12-19,"59,500","59,900","59,100","59,500",99.66,99.88,98.68,101.37,"7,696,187",44.76%,-49.35,13.39%,-75.51%,24.5,30.35,"572,945","-172,259"
2022-12-16,"58,300","59,500","58,300","59,500",99.66,99.75,98.53,101.52,"13,033,596",47.27%,-89.42,13.81%,-75.51%,21.7,33.68,"-2,916,881","2,526,074"
2022-12-15,"59,800","60,200","59,300","59,300",99.03,99.26,98.01,101.3,"8,716,039",42.74%,-57.95,12.61%,-82.98%,25.31,25.41,"-1,508,806","-13,455"
2022-12-14,"59,800","60,600","59,800","60,500",101.07,100.72,99.82,103.45,"8,207,485",45.87%,-3.59,14.52%,-57.45%,29.58,22.67,"976,736","1,378,670"
2022-12-13,"59,600","60,300","59,400","59,700",100.27,99.1,98.32,102.2,"9,040,873",43.81%,-49.3,14.72%,-74.47%,29.12,25.46,"22,156","-62,788"
