Date,Open,Higt,Low,Close,Volume,RSI,RSISignal,CCI,CCISignal,UpDI,DownDI,ADX,PDI,MDI,WilliamsR,WilliamsD,MACD,MACDSignal,MACDOscillator,Close5ma,Close10ma,Close20ma,Close60ma,INDNB,INSNB,FNB,Call,EX,SSR
2013-02-05,95710,98073,95316,98073,54915,0.3215,0.346,-167.79,-144.61,9.59,32.07,0.273,0.0959,0.3207,-0.6957,-0.7323,-1010.28,-479.77,-530.5,98.89,97.76,96.47,96.68,-16582,4613,11969,2.73,1087,0.79
2013-02-06,99649,99649,97679,98467,53786,0.3704,0.3509,-80.22,-131.73,16.77,28.8,0.2718,0.1677,0.288,-0.6522,-0.6922,-1070.04,-597.83,-472.21,100,98.46,97.13,97.13,-6636,189,6447,2.72,1087.85,4.41
2013-02-07,99649,99649,97285,97679,38407,0.3215,0.345,-78.71,-121.13,14.7,27.3,0.2756,0.147,0.273,-0.7392,-0.7157,-1167.53,-711.77,-455.76,99.92,98.1,96.7,96.4,-1811,9942,-8131,2.74,1088.2,11.53
2013-02-08,97285,98861,96498,98073,50996,0.2963,0.3353,-77.77,-112.46,12.86,28.05,0.2884,0.1286,0.2805,-0.6957,-0.7057,-1199.17,-809.25,-389.92,100.16,98.85,97.4,96.8,-1300,21266,-19966,2.74,1095.7,4.89
2013-02-12,98073,99649,97285,98467,23875,0.3215,0.3325,-46.15,-99.2,15.44,24.51,0.2802,0.1544,0.2451,-0.6522,-0.6789,-1178.87,-883.17,-295.7,100.32,99.48,98.12,97.17,-3918,3201,717,2.75,1090.8,1.33
2013-02-13,98467,100042,98073,98861,42481,0.3704,0.3401,-19.77,-83.31,15.93,21.86,0.2638,0.1593,0.2186,-0.5263,-0.6026,-1118.1,-930.16,-187.94,100.56,100.12,98.64,97.56,5689,-9478,-2306,2.75,1086.8,0.75
2013-02-14,98861,98861,97679,98467,29545,0.3334,0.3387,-40.24,-74.69,14.82,22.66,0.2565,0.1482,0.2266,-0.579,-0.5908,-1089.17,-961.96,-127.21,100.16,100.08,98.43,97.17,1924,-1876,-48,2.75,1083.8,1.25
2013-02-15,98467,98861,98073,98467,11907,0.3462,0.3402,-28.99,-65.55,14.07,21.51,0.2502,0.1407,0.2151,-0.579,-0.5849,-1054.1,-980.39,-73.71,100,100.36,98.56,97.17,-3582,518,668,2.75,1078.3,2.33
2013-02-18,98861,98861,98073,98073,11993,0.36,0.3442,-30.11,-58.46,13.29,20.32,0.2447,0.1329,0.2032,-0.6316,-0.6082,-1046.03,-993.52,-52.52,99.6,99.88,98.34,96.8,156,-638,-716,2.74,1082.1,1.77
2013-02-19,98467,99255,98073,98861,43467,0.3847,0.3523,3.45,-46.08,15.04,18.54,0.226,0.1504,0.1854,-0.5263,-0.5673,-964.94,-987.8,22.86,100.32,100.52,99.31,97.6,-3471,-16614,17664,2.75,1081.2,0.61
2013-02-20,98861,101224,98861,100830,72159,0.4483,0.3715,147.49,-7.37,26.51,15.43,0.2311,0.2651,0.1543,-0.2632,-0.4153,-733.33,-936.91,203.58,101.91,102.24,101.37,99.49,-6857,-7076,11569,2.75,1078.5,1.93
2013-02-21,101224,102800,100042,101618,96955,0.5172,0.4006,258.7,45.85,32.16,12.58,0.2586,0.3216,0.1258,-0.1579,-0.2866,-480.66,-845.66,365,102.06,102.71,102.16,100.21,-9025,-14167,20903,2.76,1086.05,8.61
2013-02-22,103193,103193,100436,100830,33669,0.7143,0.4634,177.8,72.24,29.02,10.37,0.2873,0.2902,0.1037,-0.3,-0.2933,-340.07,-744.54,404.47,100.79,101.59,101.43,99.4,-1380,6778,-5404,2.75,1084.7,11.74
2013-02-25,100830,102800,99649,100830,46323,0.7143,0.5135,116.68,81.13,23.57,13.12,0.287,0.2357,0.1312,-0.3,-0.2966,-226.06,-640.84,414.79,100.23,101.31,101.47,99.38,-2472,5847,-669,2.76,1086.3,2.74
2013-02-26,101618,101618,99649,100436,33772,0.65,0.5408,69.42,78.78,20.76,11.55,0.2867,0.2076,0.1155,-0.4118,-0.3542,-165.58,-545.79,380.21,99.53,100.71,101.09,99,4,2508,-2512,2.75,1088,3.09
2013-02-27,100830,101224,99649,101224,31082,0.6666,0.566,64.79,75.99,18.7,10.41,0.2864,0.187,0.1041,-0.2941,-0.3242,-53.45,-447.32,393.87,100.23,101.26,101.88,99.77,-1481,-1562,3015,2.75,1084.4,3.9
2013-02-28,102012,102800,101224,101618,54233,0.75,0.6028,107.63,82.31,27.05,9.34,0.3131,0.2705,0.0934,-0.2353,-0.2797,66.44,-344.57,411.01,100.62,101.34,102.3,100.17,-3997,1919,2078,2.76,1083,1.23
2013-03-04,100830,102406,100830,101618,52368,0.7368,0.6296,83.37,82.52,24.18,11,0.3214,0.2418,0.11,-0.2666,-0.2731,159.61,-243.73,403.35,100.47,101.02,102.28,100.17,-1821,8464,-6543,2.76,1093.2,6.82
2013-03-05,101618,103193,101618,102012,35038,0.7368,0.651,106.06,87.23,26.99,9.8,0.3408,0.2699,0.098,-0.2142,-0.2437,262.22,-142.54,404.77,100.62,101.01,102.43,100.58,-5721,5336,385,2.74,1087,9.81
2013-03-06,103193,103587,102012,102800,52555,0.75,0.6708,118.93,93.57,26.77,8.71,0.3633,0.2677,0.0871,-0.1332,-0.1884,402.49,-33.54,436.02,100.93,101.4,102.94,101.36,-2501,-6783,9284,2.74,1082.6,2.65
2013-03-07,103981,103981,102406,102406,26969,0.75,0.6866,113.52,97.56,26.57,7.71,0.3882,0.2657,0.0771,-0.2666,-0.2275,476.36,68.44,407.92,100.31,100.85,102.32,100.99,-1355,-8828,10183,2.76,1087.1,3.85
2013-03-08,102406,103981,102406,103193,77982,0.7727,0.7039,117.8,101.61,23.48,6.81,0.4098,0.2348,0.0681,-0.1334,-0.1804,591.6,173.07,418.52,100.77,101.47,102.87,101.77,-914,-50952,51866,2.75,1090.3,0.28
2013-03-11,103587,103587,101224,102406,59401,0.7392,0.7109,63.91,94.07,19.54,14.06,0.3769,0.1954,0.1406,-0.2666,-0.2235,612.36,260.93,351.43,99.85,100.54,101.84,101.01,76,-14363,14287,2.75,1094.8,2.53
2013-03-12,102406,102800,101224,102012,46176,0.6818,0.7051,22.24,79.7,17.31,12.45,0.3484,0.1731,0.1245,-0.3846,-0.304,590.21,326.79,263.43,99.46,100.04,101.25,100.65,-942,-18299,19090,2.75,1095.2,2.02
2013-03-13,101224,102406,99255,101618,140819,0.5556,0.6752,-72.21,49.32,13.7,22.89,0.3355,0.137,0.2289,-0.5,-0.402,534.71,368.37,166.34,99.31,99.54,100.7,100.32,3256,-42210,38954,2.75,1097.4,1.92
2013-03-14,100830,102800,100436,102406,30831,0.5556,0.6513,2.89,40.03,14.15,19.39,0.3115,0.1415,0.1939,-0.3333,-0.3676,547.99,404.29,143.69,100.08,100.19,101.31,101.13,-3770,7207,-3437,2.74,1109,3.5
